ID,RA,DEC,Scale Factor
12043-6225,12.073,-62.428,1.25E-16
12063-6259,12.106,-62.987,2.97E-16
12073-6233,12.123,-62.554,3.13E-15
12148-6741,12.247,-67.683,1.73E-15
12216-6218,12.36,-62.303,2.18E-16
12226+0102,12.378,1.046,4.84E-16
12230-5943,12.384,-59.725,5.64E-16
12233-5920,12.389,-59.346,5.29E-16
12247-5842,12.412,-58.716,5.56E-16
12274-7647,12.457,-76.788,4.75E-16
12277+0441,12.463,4.693,1.35E-15
12283-5650,12.473,-56.836,7.92E-15
12298-5754,12.498,-57.916,6.64E-16
12319-6728,12.533,-67.481,1.11E-15
12377-6102,12.629,-61.049,5.50E-16
12379-4959,12.632,-49.996,3.76E-16
12380+5607,12.634,56.122,1.18E-15
12384-4536,12.642,-45.616,6.33E-16
12394-4338,12.657,-43.644,9.41E-16
12421-6217,12.702,-62.286,2.87E-16
12427+4542,12.713,45.713,1.87E-15
12447+0425,12.746,4.418,1.31E-15
12454-6659,12.757,-67,2.81E-16
12462-6418,12.77,-64.309,4.83E-16
12506-6004,12.845,-60.079,4.09E-16
12530+0340,12.885,3.668,1.42E-15
12540-6845,12.9,-68.761,1.11E-15
12559-6041,12.933,-60.691,3.14E-16
12563-6100,12.938,-61.009,3.47E-16
13001+0527,13.002,5.454,2.42E-15
13022-7650,13.037,-76.84,2.57E-16
13064-6103,13.107,-61.061,2.16E-16
13136-4426,13.227,-44.441,3.45E-16
13141-6119,13.237,-61.321,2.51E-16
13170-5404,13.285,-54.072,1.89E-16
13172+4547,13.288,45.789,5.32E-16
13203-5536,13.339,-55.616,4.98E-16
13208-6027,13.348,-60.464,2.37E-16
13283-5839,13.472,-58.663,2.68E-16
13328-6244,13.548,-62.734,5.07E-16
13343-5807,13.573,-58.132,3.39E-16
13350-7221,13.584,-72.364,1.23E-16
13368-4941,13.615,-49.698,1.14E-15
13371-6249,13.619,-62.827,3.31E-16
13379-5426,13.633,-54.442,2.46E-16
13442-6109,13.738,-61.158,1.35E-15
13462-2807,13.77,-28.12,3.38E-14
13465-3412,13.776,-34.202,2.04E-15
13477-6532,13.796,-65.535,5.79E-16
13482-6716,13.804,-67.269,5.68E-16
13509-6348,13.849,-63.812,3.60E-16
13517-6515,13.863,-65.265,4.03E-16
13527-6117,13.879,-61.291,3.43E-16
13557-6442,13.929,-64.712,1.45E-16
13572-6347,13.953,-63.795,3.40E-16
13581-5930,13.969,-59.502,6.24E-16
14003-7633,14.006,-76.556,3.82E-15
14020-3515,14.034,-35.258,1.00E-15
14030-4629,14.052,-46.485,1.67E-16
14068-6158,14.115,-61.977,3.68E-16
14086-2839,14.145,-28.651,3.54E-16
14086-6907,14.145,-69.118,3.50E-16
14119-6453,14.199,-64.898,2.20E-16
14122-6133,14.204,-61.563,1.71E-16
14129-5940,14.216,-59.682,1.15E-15
14133+1925,14.222,19.424,6.27E-15
14159-6038,14.265,-60.635,1.06E-16
14182-6144,14.304,-61.736,1.43E-16
14216-6152,14.361,-61.869,3.33E-16
14247+0454,14.413,4.902,4.69E-16
14251-6256,14.419,-62.934,3.99E-16
14277+3904,14.462,39.083,2.58E-16
14280-2952,14.467,-29.876,1.05E-15
14286-5905,14.477,-59.094,2.72E-16
14301-5734,14.502,-57.567,2.72E-16
14337-6215,14.563,-62.255,2.71E-16
14359-6037,14.599,-60.623,2.12E-15
14371+3245,14.619,32.754,5.48E-16
14390+3147,14.652,31.785,3.39E-16
14437+1520,14.729,15.341,8.77E-16
14453-4920,14.755,-49.349,2.55E-16
14455-3625,14.759,-36.426,6.89E-16
14465-6000,14.776,-60.013,1.69E-16
14484-6152,14.807,-61.867,2.68E-15
14508+7421,14.847,74.363,1.39E-15
14531-5337,14.886,-53.627,5.67E-16
14550-1214,14.917,-12.236,4.82E-16
14562-5406,14.938,-54.104,4.49E-16
14567+6607,14.946,66.132,1.10E-15
14567-5846,14.946,-58.773,1.91E-16
14582-5926,14.971,-59.441,6.38E-16
14591-4438,14.987,-44.641,1.25E-15
15011-2505,15.019,-25.086,1.57E-15
15023-6916,15.039,-69.282,3.43E-16
15082-4808,15.137,-48.146,3.63E-15
15084-5702,15.14,-57.036,3.52E-16
15099-5509,15.166,-55.158,1.18E-15
15107-5726,15.18,-57.441,3.46E-16
15148-4940,15.247,-49.669,9.20E-16
15186-3604,15.31,-36.082,3.87E-16
15186-5730,15.31,-57.513,1.45E-16
15193+1429,15.322,14.493,1.92E-16
15193+3132,15.322,31.546,8.63E-16
15214-2244,15.357,-22.735,8.24E-16
15219-7545,15.367,-75.755,1.96E-16
15223-0203,15.372,-2.059,5.29E-16
15225-5605,15.376,-56.091,3.21E-16
15226-3603,15.377,-36.057,7.29E-16
15255+1944,15.426,19.736,8.25E-16
15269-4400,15.45,-44.005,2.80E-16
15287-5811,15.48,-58.184,8.64E-16
15290-5546,15.484,-55.768,1.99E-16
15311-5538,15.52,-55.649,1.76E-16
15314+7847,15.523,78.798,6.47E-16
15323-4920,15.539,-49.343,2.87E-16
15332-6430,15.555,-64.511,2.95E-16
15341+1515,15.569,15.265,1.29E-15
15356-6722,15.593,-67.377,2.25E-16
15361+2441,15.602,24.685,6.66E-16
15373-5308,15.622,-53.144,2.05E-16
15402-5449,15.67,-54.83,3.26E-16
15408-5413,15.68,-54.228,5.73E-16
15410-0133,15.683,-1.553,6.00E-16
15468-5018,15.781,-50.316,1.65E-16
15483+1517,15.806,15.284,8.76E-16
15483-5514,15.806,-55.246,3.22E-16
15492+4837,15.821,48.632,1.14E-15
15509-5207,15.85,-52.128,2.68E-16
15530-5201,15.884,-52.02,3.10E-16
15566+3609,15.944,36.163,2.15E-16
15568-4513,15.947,-45.231,7.27E-16
15569-6135,15.949,-61.586,1.57E-16
15576-5400,15.961,-54.003,1.41E-15
16011+4722,16.019,47.377,2.16E-15
16011-5424,16.019,-54.406,2.76E-16
16029-3041,16.05,-30.692,6.26E-16
16030-5156,16.051,-51.942,4.83E-16
16031-4856,16.052,-48.94,3.46E-16
16064-4200,16.108,-42.013,2.47E-16
16066-4427,16.112,-44.461,2.18E-16
16077-5830,16.128,-58.509,1.67E-16
16079-4812,16.132,-48.202,6.48E-16
16081+2511,16.136,25.2,6.84E-16
16105-4205,16.176,-42.091,2.77E-15
16117-0334,16.195,-3.568,1.39E-15
16127-7834,16.213,-78.574,9.60E-16
16133-5151,16.223,-51.863,2.98E-16
16156-5613,16.26,-56.231,2.87E-16
16171-4759,16.286,-47.996,2.69E-16
16175-6120,16.293,-61.335,1.71E-16
16192-4900,16.322,-49.004,3.50E-16
16208-2215,16.348,-22.254,2.70E-16
16218-4701,16.365,-47.018,2.26E-16
16219-5048,16.365,-50.815,7.46E-16
16222-4738,16.371,-47.639,4.38E-16
16229-4947,16.382,-49.795,1.80E-16
16235+1900,16.393,19.004,1.71E-15
16260+3454,16.434,34.912,2.74E-16
16263-5533,16.44,-55.559,3.20E-16
16269+4159,16.45,41.99,2.81E-15
16270-5213,16.451,-52.22,1.58E-16
16279-4709,16.466,-47.159,2.29E-16
16280-4154,16.467,-41.915,1.89E-16
16296-4417,16.495,-44.293,1.63E-16
16306+7223,16.51,72.387,5.60E-16
16316-5026,16.528,-50.434,3.38E-16
16327-4848,16.546,-48.809,5.17E-16
16328-4656,16.547,-46.949,2.63E-16
16334-3107,16.557,-31.133,3.32E-16
16337-4525,16.563,-45.424,3.03E-16
16340-4634,16.567,-46.578,2.04E-15
16387-2700,16.645,-27.011,3.03E-16
16396-4429,16.661,-44.495,2.73E-16
16407-5639,16.679,-56.658,2.09E-16
16418+5459,16.698,54.996,5.74E-16
16433-6856,16.722,-68.939,1.31E-15
16438-1133,16.731,-11.559,7.01E-16
16446-4243,16.744,-42.732,1.77E-16
16451-4312,16.753,-43.206,1.85E-16
16460-4022,16.768,-40.374,1.89E-15
16473+5753,16.79,57.899,3.62E-16
16478-4322,16.798,-43.377,4.97E-16
16490-4618,16.818,-46.316,4.13E-16
16494-1252,16.823,-12.868,3.23E-16
16498-4143,16.831,-41.726,1.91E-16
16534-3030,16.891,-30.502,1.05E-15
16541-4901,16.902,-49.033,1.62E-16
16545-4214,16.91,-42.247,1.53E-15
16546-4057,16.911,-40.962,3.92E-16
16559-2557,16.932,-25.956,1.98E-16
16571-7548,16.953,-75.81,2.02E-16
16581-4058,16.969,-40.979,2.87E-16
16586-4142,16.977,-41.709,4.35E-16
16589-3315,16.982,-33.254,2.21E-16
