Nebraska,22,Illinois,30
UConn,0,Fresno St.,45
Hawaii,10,UCLA,44
UTEP,30,New Mexico St.,3
Ohio St.,45,Minnesota,31
Boise St.,31,UCF,36
East Carolina,19,App State,33
South Fla.,0,NC State,45
Bowling Green,6,Tennessee,38
North Carolina,10,Virginia Tech,17
Duke,28,Charlotte,31
Old Dominion,10,Wake Forest,42
Michigan St.,38,Northwestern,21
Alabama,44,Miami (FL),13
Tulane,35,Oklahoma,40
Georgia,10,Clemson,3
Kent St.,10,Texas A&M,41
Miami (OH),14,Cincinnati,49
Fresno St.,24,Oregon,31
Penn St.,16,Wisconsin,10
Fla. Atlantic,14,Florida,35
San Jose St.,7,Southern California,30
LSU,27,UCLA,38
Indiana,6,Iowa,34
Louisiana,18,Texas,38
Army West Point,43,Georgia St.,10
Stanford,7,Kansas St.,24
ULM,10,Kentucky,45
Western Mich.,14,Michigan,47
Rice,17,Arkansas,38
Louisiana Tech,34,Mississippi St.,35
West Virginia,24,Maryland,30
Marshall,49,Navy,7
Central Mich.,24,Missouri,34
Massachusetts,7,Pittsburgh,51
Akron,10,Auburn,60
Texas Tech,38,Houston,21
Syracuse,29,Ohio,9
Oregon St.,21,Purdue,30
Baylor,29,Texas St.,20
Northern Ill.,22,Georgia Tech,21
UTSA,37,Illinois,30
Southern Miss.,7,South Alabama,31
BYU,24,Arizona,16
Nevada,22,California,17
New Mexico St.,10,San Diego St.,28
Utah St.,26,Washington St.,23
Temple,14,Rutgers,61
Notre Dame,41,Florida St.,38
Louisville,24,Ole Miss,43
Kansas,22,Coastal Carolina,49
UTEP,13,Boise St.,54
UAB,7,Georgia,56
Oregon,35,Ohio St.,28
Texas A&M,10,Colorado,7
Toledo,29,Notre Dame,32
Iowa,27,Iowa St.,17
Ball St.,13,Penn St.,44
Florida,42,South Fla.,20
Stanford,42,Southern California,28
Texas,21,Arkansas,40
Eastern Mich.,7,Wisconsin,34
Middle Tenn.,14,Virginia Tech,35
Utah,17,BYU,26
App State,23,Miami (FL),25
UNLV,10,Arizona St.,37
Georgia St.,17,North Carolina,59
Illinois,14,Virginia,42
Western Ky.,35,Army West Point,38
South Carolina,20,East Carolina,17
Miami (OH),26,Minnesota,31
Tulsa,23,Oklahoma St.,28
Pittsburgh,41,Tennessee,34
Wyoming,50,Northern Ill.,43
Rutgers,17,Syracuse,7
Purdue,49,UConn,0
