tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,2016-AGL-6155-OE,1056668,42.7066944444444,-84.5083611111111,Constructed,12/03/1995,EAST LANSING CELL SITE,EAST LANSING,MI,168.9715,854.0443,168.9715,1023.0158,NA,Alltel Corporation,L00128596,,,7707971070,Network.Regulatory@verizonwireless.com,5055 North Point Pkwy,,Alpharetta,GA,30022    ,Network Regulatory,Alltel Corporation,,Regulatory,Manager,7707971070,Network.Regulatory@verizonwireless.com,5055 North Point Pkwy,,Alpharetta,GA,30022    ,Network Regulatory,Owner Change,Granted,02/05/2019,Owner Alltel Corporation / Rep Alltel Corporation / ,Constructed,Granted,05/04/2016,NA,Modification,Granted,05/04/2016,NA
Registered,97-AGL-0204-OE,1031213,42.7283333333333,-84.515,Constructed,10/14/1997,507 MIFFLIN AVE,LANSING,MI,438.6697,835.0145,439.9821,1274.9966,Tower,SEEBURG CORPORATION,,,,5173320000,,507 MIFFLIN AVE,,LANSING,MI,48912    ,TOM DE ANGELO,,,,,,,,,,,,,New Reg,Granted,10/07/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Registered,2014-AGL-1668-OE,1035421,42.7396388888889,-84.5119166666667,Constructed,04/01/2014,2820 E Saginaw Street,LANSING,MI,425.5457,857.9815,430.1391,1288.1206,NA,Nexstar Inc,L00777482,,,9723738000,jasroberts@nexstar.tv,545 E John Carpenter Freeway,,Irving,TX,75062    ,,Nexstar Inc,,Jason,Roberts,9723738000,jasroberts@nexstar.tv,545 E John Carpenter Freeway,,Irving,TX,75062    ,,Adm Update,Granted,10/28/2020,NA,Owner Change,Granted,03/20/2017,Owner Nexstar Broadcasting Inc / Rep Nexstar Broadcasting Inc / ,Constructed,Granted,01/08/2015,NA
Registered,98-AGL-4002-OE,1061443,42.7164166666667,-84.4824166666667,Constructed,11/11/2016,1423 RECYCLING DRIVE,EAST LANSING,MI,224.7485,864.8716,239.8411,1104.7127,NA,MICHIGAN STATE UNIVERSITY,L00038355,,,5173537989,gress@ipf.msu.edu,1120 RED CEDAR ROAD- ROOM W110,,EAST LANSING,MI,48824    ,ROBERT L. GRESS PE,MICHIGAN STATE UNIVERSITY,,ROBERT,GRESS,5173537989,gress@ipf.msu.edu,1120 RED CEDAR ROAD- ROOM W110,,EAST LANSING,MI,48824    ,,Constructed,Granted,12/20/2017,NA,Modification,Granted,11/11/2016,NA,Constructed,Granted,08/05/1999,NA
Registered,2020-AGL-709-OE,1001249,42.7261944444444,-84.4953888888889,Constructed,05/22/1996,716 S HARRISON RD,EAST LANSING,MI,229.67,845.1856,239.513,1084.6986,NA,MICHIGAN STATE OF,L00001365,,,5172844086,SandbergM@michigan.gov,7150 HARRIS DRIVE,,DIMONDALE,MI,48821    ,DTMB - MPSCS,MICHIGAN STATE OF,,Brian,Aprill,5172844087,AprillB@michigan.gov,7150 HARRIS DRIVE,,DIMONDALE,MI,48821    ,DTMB-MPSCS,Constructed,Granted,02/10/2020,NA,Modification,Granted,02/07/2020,NA,Adm Update,Granted,04/08/2019,NA
Registered,2016-AGL-9288-OE,1055176,42.7202777777778,-84.5196111111111,Constructed,09/01/2016,2150 E MAIN ST,LANSING,MI,325.8033,832.7178,325.8033,1158.5211,NA,Townsquare Media Lansing LLC,L01849698,,,2038610900,fcccontact@townsquaremedia.com,240 Greenwich Avenue,,Greenwich,CT,06830    ,Mark T. Simpson,Townsquare Media Lansing LLC,,Mark,Simpson,2038610900,fcccontact@townsquaremedia.com,240 Greenwich Avenue,,Greenwich,CT,06830    ,,Adm Update,Granted,07/27/2017,NA,Constructed,Granted,07/27/2017,NA,Modification,Granted,07/15/2016,NA
Registered,99-AGL-1737-OE,1223496,42.7315,-84.5073888888889,Constructed,06/30/1999,125 South Clippert St,Lansing,MI,184.0641,833.0459,199.1567,1032.2026,Tower,SBA Structures LLC,L01230762,,,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,SBA Structures LLC,,Edward,Roach,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,Adm Update,Granted,04/26/2013,NA,Owner Change,Granted,06/11/2010,Owner SBA Structures Inc / Rep SBA Structures Inc / ,Adm Update,Granted,07/14/2006,NA
Registered,01-AGL-4739-OE,1229807,42.7485,-84.4478055555555,Constructed,10/16/2001,5701 Park Lake Rd,East Lansing,MI,195.5476,845.8418,198.8286,1044.6704,Tower,Global Tower LLC through American Towers LLC,L00008376,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,American Towers LLC,,,,6785643236,faa-fcc@americantower.com,10 Presidential Way,,Woburn,MA,01801    ,FAA/FCC Regulatory,Owner Change,Granted,09/02/2014,Owner American Towers LLC / Rep American Towers LLC / Assignor Global Tower LLC / ,Adm Update,Granted,05/18/2009,NA,Owner Change,Granted,04/03/2006,Owner Global Tower LLC / 
Registered,02-AGL-479-OE,1248788,42.68875,-84.5044166666667,Constructed,06/06/2005,in the NE 14 of the SE 14 of Section 35,Lansing,MI,194.8914,863.8873,194.8914,1058.7787,Tower,SBA Structures LLC,L01230762,,,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,SBA Structures LLC,,Edward,Roach,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,Adm Update,Granted,04/26/2013,NA,Owner Change,Granted,06/14/2010,Rep SBA Structures Inc / Owner SBA Structures Inc / ,Adm Update,Granted,07/14/2006,NA
Registered,00-AGL-2406-OE,1213783,42.7227222222222,-84.5269166666667,Constructed,11/28/2000,LANSING,LANSING,MI,114.835,869.1369,129.9276,999.0645,Tower,SBA 2012 TC Assets LLC,L01469668,,,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,SBA 2012 TC Assets LLC,,Edward,Roach,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,,Adm Update,Granted,12/10/2012,NA,Owner Change,Granted,03/24/2009,Owner TowerCo Assets LLC / Rep TowerCo Assets LLC / ,Adm Update,Granted,02/19/2009,NA
