source,target,weight
SARUMAN,FRODO,1
SARUMAN,LURTZ,1
SARUMAN,GIMLI,1
SARUMAN,GANDALF,5
SARUMAN,ARAGORN,1
SARUMAN,ORC OVERSEER,2
SARUMAN,BOROMIR,1
SAM,BILBO,2
SAM,GANDALF,6
SAM,BUTTERBUR,1
SAM,FRODO,10
SAM,LURTZ,1
SAM,GIMLI,3
SAM,GALADRIEL,2
SAM,PIPPIN,7
SAM,BOROMIR,2
SAM,ARWEN,1
SAM,ELROND,1
SAM,FARMER MAGGOT,1
SAM,MERRY,7
SAM,LEGOLAS,3
SAM,HALDIR,1
SAM,ARAGORN,4
SAM,STRIDER,5
BUTTERBUR,FRODO,2
BUTTERBUR,PIPPIN,1
BUTTERBUR,MERRY,1
FRODO,ARAGORN,5
FRODO,GIMLI,4
FRODO,BOROMIR,4
FRODO,GALADRIEL,1
FRODO,ARWEN,1
FRODO,FRO DO,1
FRODO,ELROND,1
FRODO,FARMER MAGGOT,1
FRODO,MERRY,7
FRODO,GATEKEEPER,1
FRODO,LEGOLAS,2
FRODO,GANDALF,11
FRODO,BILBO,3
FRODO,STRIDER,3
FRODO,PIPPIN,6
GIMLI,GANDALF,5
GIMLI,BOROMIR,4
GIMLI,GALADRIEL,1
GIMLI,ELROND,1
GIMLI,MERRY,3
GIMLI,LEGOLAS,4
GIMLI,HALDIR,1
GIMLI,ARAGORN,4
GIMLI,STRIDER,1
GIMLI,PIPPIN,1
BOROMIR,LURTZ,1
BOROMIR,PIPPIN,2
BOROMIR,ARWEN,1
BOROMIR,ELROND,1
BOROMIR,MERRY,2
BOROMIR,LEGOLAS,3
BOROMIR,GANDALF,3
BOROMIR,ARAGORN,5
BOROMIR,STRIDER,2
FRO DO,GANDALF,2
FRO DO,PIPPIN,1
FRO DO,MERRY,1
ELROND,GANDALF,3
ELROND,LEGOLAS,1
ELROND,MERRY,1
ELROND,ARAGORN,1
ELROND,STRIDER,1
ELROND,PIPPIN,1
FARMER MAGGOT,MERRY,1
FARMER MAGGOT,PIPPIN,1
MERRY,BILBO,1
MERRY,LURTZ,1
MERRY,PIPPIN,7
MERRY,LEGOLAS,3
MERRY,GANDALF,3
MERRY,ARAGORN,4
MERRY,STRIDER,4
HALDIR,ARAGORN,1
HALDIR,GALADRIEL,1
ARAGORN,GANDALF,5
ARAGORN,LURTZ,1
ARAGORN,PIPPIN,2
ARAGORN,GALADRIEL,1
ARAGORN,LEGOLAS,7
ARAGORN,STRIDER,1
STRIDER,ARWEN,3
STRIDER,LEGOLAS,1
STRIDER,GANDALF,1
STRIDER,PIPPIN,2
BILBO,GANDALF,5
BILBO,GOLLUM,1
BILBO,PIPPIN,1
BILBO,GALADRIEL,1
LURTZ,LEGOLAS,1
LURTZ,PIPPIN,1
PIPPIN,ARWEN,1
PIPPIN,LEGOLAS,2
PIPPIN,GANDALF,2
GALADRIEL,GANDALF,1
GALADRIEL,GOLLUM,1
ARWEN,GANDALF,1
ARWEN,WITCH KING,1
LEGOLAS,GANDALF,3
GANDALF,GOLLUM,1
